Ano	Numero_de_Transistores
2.019000000000000000e+03	8.000000000000000000e+09
2.019000000000000000e+03	8.500000000000000000e+09
2.019000000000000000e+03	9.200000000000000000e+09
2.019000000000000000e+03	1.220000000000000000e+10
2.019000000000000000e+03	9.890000000000000000e+09
2.019000000000000000e+03	1.030000000000000000e+10
2.019000000000000000e+03	3.000000000000000000e+10
2.019000000000000000e+03	3.954000000000000000e+10
2.019000000000000000e+03	1.030000000000000000e+10
2.020000000000000000e+03	3.500000000000000000e+09
2.020000000000000000e+03	1.180000000000000000e+10
2.020000000000000000e+03	1.600000000000000000e+10
2.020000000000000000e+03	1.530000000000000000e+10
2.020000000000000000e+03	4.080000000000000000e+09
2.020000000000000000e+03	4.150000000000000000e+09
2.021000000000000000e+03	6.000000000000000000e+09
2.021000000000000000e+03	1.070000000000000000e+10
2.021000000000000000e+03	1.500000000000000000e+10
2.021000000000000000e+03	3.370000000000000000e+10
2.021000000000000000e+03	5.700000000000000000e+10
2.021000000000000000e+03	3.600000000000000000e+10
2.021000000000000000e+03	1.530000000000000000e+10
2.022000000000000000e+03	1.600000000000000000e+10
2.022000000000000000e+03	1.140000000000000000e+11
2.022000000000000000e+03	4.500000000000000000e+10
2.022000000000000000e+03	2.000000000000000000e+10
2.022000000000000000e+03	1.700000000000000000e+10
2.022000000000000000e+03	1.600000000000000000e+10
2.022000000000000000e+03	9.000000000000000000e+10
2.023000000000000000e+03	9.510000000000000000e+09
2.024000000000000000e+03	2.800000000000000000e+10
2.023000000000000000e+03	2.500000000000000000e+10
2.023000000000000000e+03	3.700000000000000000e+10
2.023000000000000000e+03	9.200000000000000000e+10
2.023000000000000000e+03	1.900000000000000000e+10
2.023000000000000000e+03	4.400000000000000000e+10
2.023000000000000000e+03	4.000000000000000000e+10
2.023000000000000000e+03	6.700000000000000000e+10
2.023000000000000000e+03	1.340000000000000000e+11
2.023000000000000000e+03	8.200000000000000000e+10
2.023000000000000000e+03	1.460000000000000000e+11
