12:24:48.064 | 0e | 0110 | ectc301perto |  -36
12:24:48.244 | 0e | 0111 | ectc301perto |  -36
12:24:48.416 | 0e | 0112 | ectc301perto |  -36
12:24:48.610 | 0e | 0113 | ectc301perto |  -36
12:24:48.810 | 0e | 0114 | ectc301perto |  -36
12:24:48.998 | 0e | 0115 | ectc301perto |  -36
12:24:49.169 | 0e | 0116 | ectc301perto |  -36
12:24:49.353 | 0e | 0117 | ectc301perto |  -35
12:24:49.535 | 0e | 0118 | ectc301perto |  -36
12:24:49.711 | 0e | 0119 | ectc301perto |  -36
12:24:49.933 | 0e | 0120 | ectc301perto |  -36
12:24:50.082 | 0e | 0121 | ectc301perto |  -36
12:24:50.264 | 0e | 0122 | ectc301perto |  -36
12:24:50.440 | 0e | 0123 | ectc301perto |  -36
12:24:50.614 | 0e | 0124 | ectc301perto |  -36
12:24:50.797 | 0e | 0125 | ectc301perto |  -36
12:24:50.970 | 0e | 0126 | ectc301perto |  -36
12:24:51.148 | 0e | 0127 | ectc301perto |  -36
12:24:51.330 | 0e | 0128 | ectc301perto |  -36
12:24:51.501 | 0e | 0129 | ectc301perto |  -36
12:24:51.697 | 0e | 0130 | ectc301perto |  -36
12:24:51.894 | 0e | 0131 | ectc301perto |  -36
12:24:52.078 | 0e | 0132 | ectc301perto |  -36
12:24:52.254 | 0e | 0133 | ectc301perto |  -36
12:24:52.448 | 0e | 0134 | ectc301perto |  -36
12:24:52.636 | 0e | 0135 | ectc301perto |  -36
12:24:52.819 | 0e | 0136 | ectc301perto |  -36
12:24:53.040 | 0e | 0137 | ectc301perto |  -36
12:24:53.236 | 0e | 0138 | ectc301perto |  -36
12:24:53.413 | 0e | 0139 | ectc301perto |  -36
12:24:53.589 | 0e | 0140 | ectc301perto |  -36
12:24:53.784 | 0e | 0141 | ectc301perto |  -36
12:24:53.965 | 0e | 0142 | ectc301perto |  -36
12:24:54.125 | 0e | 0143 | ectc301perto |  -36
12:24:54.320 | 0e | 0144 | ectc301perto |  -36
12:24:54.519 | 0e | 0145 | ectc301perto |  -36
12:24:54.708 | 0e | 0146 | ectc301perto |  -36
12:24:54.915 | 0e | 0147 | ectc301perto |  -36
12:24:55.091 | 0e | 0148 | ectc301perto |  -36
12:24:55.262 | 0e | 0149 | ectc301perto |  -36
12:24:55.451 | 0e | 0150 | ectc301perto |  -36
12:24:55.630 | 0e | 0151 | ectc301perto |  -36
12:24:55.796 | 0e | 0152 | ectc301perto |  -36
12:24:55.984 | 0e | 0153 | ectc301perto |  -36
12:24:56.158 | 0e | 0154 | ectc301perto |  -36
12:24:56.336 | 0e | 0155 | ectc301perto |  -36
12:24:56.508 | 0e | 0156 | ectc301perto |  -36
12:24:56.686 | 0e | 0157 | ectc301perto |  -36
12:24:56.844 | 0e | 0158 | ectc301perto |  -36
12:24:57.030 | 0e | 0159 | ectc301perto |  -36
12:24:57.237 | 0e | 0160 | ectc301perto |  -36
12:24:57.416 | 0e | 0161 | ectc301perto |  -36
12:24:57.591 | 0e | 0162 | ectc301perto |  -36
12:24:57.783 | 0e | 0163 | ectc301perto |  -36
12:24:57.969 | 0e | 0164 | ectc301perto |  -36
12:24:58.145 | 0e | 0165 | ectc301perto |  -35
12:24:58.322 | 0e | 0166 | ectc301perto |  -35
12:24:58.511 | 0e | 0167 | ectc301perto |  -35
12:24:58.696 | 0e | 0168 | ectc301perto |  -35
12:24:58.858 | 0e | 0169 | ectc301perto |  -35
12:24:59.049 | 0e | 0170 | ectc301perto |  -35
12:24:59.244 | 0e | 0171 | ectc301perto |  -35
12:24:59.435 | 0e | 0172 | ectc301perto |  -36
12:24:59.641 | 0e | 0173 | ectc301perto |  -36
12:24:59.820 | 0e | 0174 | ectc301perto |  -36
12:25:00.011 | 0e | 0175 | ectc301perto |  -36
12:25:00.202 | 0e | 0176 | ectc301perto |  -36
12:25:00.385 | 0e | 0177 | ectc301perto |  -36
12:25:00.569 | 0e | 0178 | ectc301perto |  -36
12:25:00.734 | 0e | 0179 | ectc301perto |  -36
12:25:00.904 | 0e | 0180 | ectc301perto |  -36
12:25:01.058 | 0e | 0181 | ectc301perto |  -36
12:25:01.247 | 0e | 0182 | ectc301perto |  -36
12:25:01.437 | 0e | 0183 | ectc301perto |  -36
12:25:01.625 | 0e | 0184 | ectc301perto |  -36
12:25:01.824 | 0e | 0185 | ectc301perto |  -36
12:25:02.002 | 0e | 0186 | ectc301perto |  -36
12:25:02.178 | 0e | 0187 | ectc301perto |  -36
12:25:02.346 | 0e | 0188 | ectc301perto |  -36
12:25:02.535 | 0e | 0189 | ectc301perto |  -36
12:25:02.725 | 0e | 0190 | ectc301perto |  -36
12:25:02.900 | 0e | 0191 | ectc301perto |  -36
12:25:03.089 | 0e | 0192 | ectc301perto |  -36
12:25:03.276 | 0e | 0193 | ectc301perto |  -36
12:25:03.449 | 0e | 0194 | ectc301perto |  -35
12:25:03.637 | 0e | 0195 | ectc301perto |  -35
12:25:03.820 | 0e | 0196 | ectc301perto |  -36
12:25:04.013 | 0e | 0197 | ectc301perto |  -36
12:25:04.178 | 0e | 0198 | ectc301perto |  -36
12:25:04.369 | 0e | 0199 | ectc301perto |  -36
12:25:04.555 | 0e | 0200 | ectc301perto |  -36
12:25:04.730 | 0e | 0201 | ectc301perto |  -36
12:25:04.921 | 0e | 0202 | ectc301perto |  -36
12:25:05.110 | 0e | 0203 | ectc301perto |  -36
12:25:05.286 | 0e | 0204 | ectc301perto |  -36
12:25:05.456 | 0e | 0205 | ectc301perto |  -36
12:25:05.616 | 0e | 0206 | ectc301perto |  -36
12:25:05.805 | 0e | 0207 | ectc301perto |  -36
12:25:05.992 | 0e | 0208 | ectc301perto |  -36
12:25:06.150 | 0e | 0209 | ectc301perto |  -36
12:25:06.336 | 0e | 0210 | ectc301perto |  -36
12:25:06.528 | 0e | 0211 | ectc301perto |  -36
12:25:06.723 | 0e | 0212 | ectc301perto |  -36
12:25:06.887 | 0e | 0213 | ectc301perto |  -36
12:25:07.069 | 0e | 0214 | ectc301perto |  -36
12:25:07.249 | 0e | 0215 | ectc301perto |  -36
12:25:07.430 | 0e | 0216 | ectc301perto |  -36
12:25:07.610 | 0e | 0217 | ectc301perto |  -36
12:25:07.814 | 0e | 0218 | ectc301perto |  -36
12:25:07.995 | 0e | 0219 | ectc301perto |  -36
12:25:08.169 | 0e | 0220 | ectc301perto |  -36
12:25:08.347 | 0e | 0221 | ectc301perto |  -36
12:25:08.540 | 0e | 0222 | ectc301perto |  -36
12:25:08.721 | 0e | 0223 | ectc301perto |  -36
12:25:08.883 | 0e | 0224 | ectc301perto |  -35
12:25:09.079 | 0e | 0225 | ectc301perto |  -36
12:25:09.271 | 0e | 0226 | ectc301perto |  -36
12:25:09.459 | 0e | 0227 | ectc301perto |  -35
12:25:09.630 | 0e | 0228 | ectc301perto |  -36
12:25:09.823 | 0e | 0229 | ectc301perto |  -35
12:25:10.017 | 0e | 0230 | ectc301perto |  -35
12:25:10.200 | 0e | 0231 | ectc301perto |  -35
12:25:10.377 | 0e | 0232 | ectc301perto |  -35
12:25:10.558 | 0e | 0233 | ectc301perto |  -35
12:25:10.757 | 0e | 0234 | ectc301perto |  -36
12:25:10.951 | 0e | 0235 | ectc301perto |  -36
12:25:11.133 | 0e | 0236 | ectc301perto |  -37
12:25:11.304 | 0e | 0237 | ectc301perto |  -37
12:25:11.486 | 0e | 0238 | ectc301perto |  -38
12:25:11.647 | 0e | 0239 | ectc301perto |  -38
12:25:11.887 | 0e | 0240 | ectc301perto |  -37
12:25:12.044 | 0e | 0241 | ectc301perto |  -37
12:25:12.231 | 0e | 0242 | ectc301perto |  -37
12:25:12.404 | 0e | 0243 | ectc301perto |  -37
12:25:12.597 | 0e | 0244 | ectc301perto |  -37
12:25:12.789 | 0e | 0245 | ectc301perto |  -37
12:25:12.974 | 0e | 0246 | ectc301perto |  -36
12:25:13.180 | 0e | 0247 | ectc301perto |  -36
12:25:13.366 | 0e | 0248 | ectc301perto |  -36
12:25:13.539 | 0e | 0249 | ectc301perto |  -36
12:25:13.732 | 0e | 0250 | ectc301perto |  -37
12:25:13.908 | 0e | 0251 | ectc301perto |  -37
12:25:14.095 | 0e | 0252 | ectc301perto |  -36
12:25:14.256 | 0e | 0253 | ectc301perto |  -36
12:25:14.422 | 0e | 0254 | ectc301perto |  -36
12:25:14.618 | 0e | 0255 | ectc301perto |  -37
12:25:14.817 | 0e | 0256 | ectc301perto |  -37
12:25:14.998 | 0e | 0257 | ectc301perto |  -36
12:25:15.175 | 0e | 0258 | ectc301perto |  -37
12:25:15.340 | 0e | 0259 | ectc301perto |  -37
12:25:15.529 | 0e | 0260 | ectc301perto |  -36
12:25:15.691 | 0e | 0261 | ectc301perto |  -36
12:25:15.871 | 0e | 0262 | ectc301perto |  -36
12:25:16.058 | 0e | 0263 | ectc301perto |  -36
12:25:16.220 | 0e | 0264 | ectc301perto |  -37
12:25:16.415 | 0e | 0265 | ectc301perto |  -36
12:25:16.612 | 0e | 0266 | ectc301perto |  -37
12:25:16.793 | 0e | 0267 | ectc301perto |  -36
12:25:16.959 | 0e | 0268 | ectc301perto |  -36
12:25:17.150 | 0e | 0269 | ectc301perto |  -36
12:25:17.335 | 0e | 0270 | ectc301perto |  -36
12:25:17.509 | 0e | 0271 | ectc301perto |  -36
12:25:17.673 | 0e | 0272 | ectc301perto |  -36
12:25:17.847 | 0e | 0273 | ectc301perto |  -36
12:25:18.022 | 0e | 0274 | ectc301perto |  -36
12:25:18.217 | 0e | 0275 | ectc301perto |  -36
12:25:18.407 | 0e | 0276 | ectc301perto |  -36
12:25:18.599 | 0e | 0277 | ectc301perto |  -36
12:25:18.774 | 0e | 0278 | ectc301perto |  -36
12:25:18.947 | 0e | 0279 | ectc301perto |  -36
12:25:19.126 | 0e | 0280 | ectc301perto |  -36
12:25:19.286 | 0e | 0281 | ectc301perto |  -35
12:25:19.479 | 0e | 0282 | ectc301perto |  -35
12:25:19.673 | 0e | 0283 | ectc301perto |  -35
12:25:19.862 | 0e | 0284 | ectc301perto |  -35
12:25:20.033 | 0e | 0285 | ectc301perto |  -35
12:25:20.226 | 0e | 0286 | ectc301perto |  -35
12:25:20.409 | 0e | 0287 | ectc301perto |  -35
12:25:20.584 | 0e | 0288 | ectc301perto |  -36
12:25:20.761 | 0e | 0289 | ectc301perto |  -36
12:25:20.959 | 0e | 0290 | ectc301perto |  -36
12:25:21.151 | 0e | 0291 | ectc301perto |  -35
12:25:21.319 | 0e | 0292 | ectc301perto |  -36
12:25:21.512 | 0e | 0293 | ectc301perto |  -36
12:25:21.695 | 0e | 0294 | ectc301perto |  -36
12:25:21.868 | 0e | 0295 | ectc301perto |  -36
12:25:22.050 | 0e | 0296 | ectc301perto |  -36
12:25:22.234 | 0e | 0297 | ectc301perto |  -36
12:25:22.409 | 0e | 0298 | ectc301perto |  -36
12:25:22.588 | 0e | 0299 | ectc301perto |  -36
12:25:22.780 | 0e | 0300 | ectc301perto |  -36
12:25:22.963 | 0e | 0301 | ectc301perto |  -36
12:25:23.131 | 0e | 0302 | ectc301perto |  -36
12:25:23.331 | 0e | 0303 | ectc301perto |  -36
12:25:23.541 | 0e | 0304 | ectc301perto |  -36
12:25:23.704 | 0e | 0305 | ectc301perto |  -36
12:25:23.879 | 0e | 0306 | ectc301perto |  -36
12:25:24.054 | 0e | 0307 | ectc301perto |  -36
12:25:24.216 | 0e | 0308 | ectc301perto |  -36
12:25:24.381 | 0e | 0309 | ectc301perto |  -36
12:25:24.573 | 0e | 0310 | ectc301perto |  -36
12:25:24.758 | 0e | 0311 | ectc301perto |  -36
12:25:24.919 | 0e | 0312 | ectc301perto |  -36
12:25:25.117 | 0e | 0313 | ectc301perto |  -36
12:25:25.307 | 0e | 0314 | ectc301perto |  -36
12:25:25.492 | 0e | 0315 | ectc301perto |  -36
12:25:25.652 | 0e | 0316 | ectc301perto |  -36
12:25:25.838 | 0e | 0317 | ectc301perto |  -36
12:25:26.022 | 0e | 0318 | ectc301perto |  -36
12:25:26.201 | 0e | 0319 | ectc301perto |  -36
12:25:26.393 | 0e | 0320 | ectc301perto |  -36
12:25:26.569 | 0e | 0321 | ectc301perto |  -36
12:25:26.753 | 0e | 0322 | ectc301perto |  -36
12:25:26.960 | 0e | 0323 | ectc301perto |  -35
12:25:27.134 | 0e | 0324 | ectc301perto |  -35
12:25:27.308 | 0e | 0325 | ectc301perto |  -35
12:25:27.477 | 0e | 0326 | ectc301perto |  -35
12:25:27.643 | 0e | 0327 | ectc301perto |  -35
12:25:27.824 | 0e | 0328 | ectc301perto |  -36
12:25:28.002 | 0e | 0329 | ectc301perto |  -35
12:25:28.177 | 0e | 0330 | ectc301perto |  -36
12:25:28.407 | 0e | 0331 | ectc301perto |  -36
12:25:28.670 | 0e | 0332 | ectc301perto |  -36
12:25:28.922 | 0e | 0333 | ectc301perto |  -36
12:25:29.173 | 0e | 0334 | ectc301perto |  -36
12:25:29.423 | 0e | 0335 | ectc301perto |  -36
12:25:29.657 | 0e | 0336 | ectc301perto |  -36
12:25:29.906 | 0e | 0337 | ectc301perto |  -37
12:25:30.169 | 0e | 0338 | ectc301perto |  -37
12:25:30.383 | 0e | 0339 | ectc301perto |  -36
12:25:30.632 | 0e | 0340 | ectc301perto |  -36
12:25:30.880 | 0e | 0341 | ectc301perto |  -36
12:25:31.127 | 0e | 0342 | ectc301perto |  -36
12:25:31.388 | 0e | 0343 | ectc301perto |  -36
12:25:31.643 | 0e | 0344 | ectc301perto |  -36
12:25:31.879 | 0e | 0345 | ectc301perto |  -36
12:25:32.114 | 0e | 0346 | ectc301perto |  -36
12:25:32.357 | 0e | 0347 | ectc301perto |  -36
12:25:32.613 | 0e | 0348 | ectc301perto |  -35
12:25:32.856 | 0e | 0349 | ectc301perto |  -35
12:25:33.104 | 0e | 0350 | ectc301perto |  -35
12:25:33.347 | 0e | 0351 | ectc301perto |  -35
12:25:33.590 | 0e | 0352 | ectc301perto |  -35
12:25:33.816 | 0e | 0353 | ectc301perto |  -35
12:25:34.031 | 0e | 0354 | ectc301perto |  -35
12:25:34.248 | 0e | 0355 | ectc301perto |  -35
12:25:34.481 | 0e | 0356 | ectc301perto |  -35
12:25:34.714 | 0e | 0357 | ectc301perto |  -35
12:25:34.943 | 0e | 0358 | ectc301perto |  -35
12:25:35.178 | 0e | 0359 | ectc301perto |  -35
12:25:35.448 | 0e | 0360 | ectc301perto |  -35
12:25:35.643 | 0e | 0361 | ectc301perto |  -36
12:25:35.860 | 0e | 0362 | ectc301perto |  -36
12:25:36.062 | 0e | 0363 | ectc301perto |  -36
12:25:36.291 | 0e | 0364 | ectc301perto |  -35
12:25:36.496 | 0e | 0365 | ectc301perto |  -35
12:25:36.710 | 0e | 0366 | ectc301perto |  -35
12:25:36.929 | 0e | 0367 | ectc301perto |  -36
12:25:37.164 | 0e | 0368 | ectc301perto |  -36
12:25:37.396 | 0e | 0369 | ectc301perto |  -36
12:25:37.644 | 0e | 0370 | ectc301perto |  -35
12:25:37.899 | 0e | 0371 | ectc301perto |  -36
12:25:38.147 | 0e | 0372 | ectc301perto |  -36
12:25:38.388 | 0e | 0373 | ectc301perto |  -36
12:25:38.610 | 0e | 0374 | ectc301perto |  -36
12:25:38.870 | 0e | 0375 | ectc301perto |  -36
12:25:39.121 | 0e | 0376 | ectc301perto |  -36
12:25:39.372 | 0e | 0377 | ectc301perto |  -36
12:25:39.618 | 0e | 0378 | ectc301perto |  -36
12:25:39.828 | 0e | 0379 | ectc301perto |  -36
12:25:40.055 | 0e | 0380 | ectc301perto |  -36
12:25:40.283 | 0e | 0381 | ectc301perto |  -36
12:25:40.515 | 0e | 0382 | ectc301perto |  -36
12:25:40.712 | 0e | 0383 | ectc301perto |  -36
12:25:40.940 | 0e | 0384 | ectc301perto |  -36
12:25:41.177 | 0e | 0385 | ectc301perto |  -36
12:25:41.392 | 0e | 0386 | ectc301perto |  -36
12:25:41.638 | 0e | 0387 | ectc301perto |  -36
12:25:41.891 | 0e | 0388 | ectc301perto |  -36
12:25:42.152 | 0e | 0389 | ectc301perto |  -36
12:25:42.349 | 0e | 0390 | ectc301perto |  -36
12:25:42.563 | 0e | 0391 | ectc301perto |  -36
12:25:42.799 | 0e | 0392 | ectc301perto |  -36
12:25:43.022 | 0e | 0393 | ectc301perto |  -36
12:25:43.240 | 0e | 0394 | ectc301perto |  -36
12:25:43.465 | 0e | 0395 | ectc301perto |  -36
12:25:43.699 | 0e | 0396 | ectc301perto |  -36
12:25:43.933 | 0e | 0397 | ectc301perto |  -36
12:25:44.159 | 0e | 0398 | ectc301perto |  -36
12:25:44.430 | 0e | 0399 | ectc301perto |  -36
12:25:44.669 | 0e | 0400 | ectc301perto |  -36
12:25:44.917 | 0e | 0401 | ectc301perto |  -36
12:25:45.147 | 0e | 0402 | ectc301perto |  -36
12:25:45.369 | 0e | 0403 | ectc301perto |  -36
12:25:45.567 | 0e | 0404 | ectc301perto |  -36
12:25:45.794 | 0e | 0405 | ectc301perto |  -36
12:25:46.010 | 0e | 0406 | ectc301perto |  -36
12:25:46.242 | 0e | 0407 | ectc301perto |  -36
12:25:46.472 | 0e | 0408 | ectc301perto |  -36
12:25:46.732 | 0e | 0409 | ectc301perto |  -36
12:25:46.979 | 0e | 0410 | ectc301perto |  -36
12:25:47.176 | 0e | 0411 | ectc301perto |  -36
12:25:47.398 | 0e | 0412 | ectc301perto |  -36
12:25:47.627 | 0e | 0413 | ectc301perto |  -36
12:25:47.872 | 0e | 0414 | ectc301perto |  -36
12:25:48.112 | 0e | 0415 | ectc301perto |  -37
12:25:48.331 | 0e | 0416 | ectc301perto |  -36
12:25:48.539 | 0e | 0417 | ectc301perto |  -36
12:25:48.753 | 0e | 0418 | ectc301perto |  -36
12:25:49.005 | 0e | 0419 | ectc301perto |  -36
12:25:49.219 | 0e | 0420 | ectc301perto |  -36
12:25:49.375 | 0e | 0421 | ectc301perto |  -36
12:25:49.551 | 0e | 0422 | ectc301perto |  -36
12:25:49.773 | 0e | 0423 | ectc301perto |  -36
12:25:50.005 | 0e | 0424 | ectc301perto |  -36
12:25:50.251 | 0e | 0425 | ectc301perto |  -36
12:25:50.476 | 0e | 0426 | ectc301perto |  -36
12:25:50.703 | 0e | 0427 | ectc301perto |  -36
12:25:50.936 | 0e | 0428 | ectc301perto |  -36
12:25:51.179 | 0e | 0429 | ectc301perto |  -36
12:25:51.448 | 0e | 0430 | ectc301perto |  -36
12:25:51.707 | 0e | 0431 | ectc301perto |  -36
12:25:51.957 | 0e | 0432 | ectc301perto |  -36
12:25:52.215 | 0e | 0433 | ectc301perto |  -36
12:25:52.464 | 0e | 0434 | ectc301perto |  -36
12:25:52.705 | 0e | 0435 | ectc301perto |  -36
12:25:52.966 | 0e | 0436 | ectc301perto |  -35
12:25:53.216 | 0e | 0437 | ectc301perto |  -35
12:25:53.457 | 0e | 0438 | ectc301perto |  -35
12:25:53.682 | 0e | 0439 | ectc301perto |  -36
12:25:53.912 | 0e | 0440 | ectc301perto |  -36
12:25:54.137 | 0e | 0441 | ectc301perto |  -35
12:25:54.378 | 0e | 0442 | ectc301perto |  -36
12:25:54.612 | 0e | 0443 | ectc301perto |  -36
12:25:54.850 | 0e | 0444 | ectc301perto |  -36
12:25:55.079 | 0e | 0445 | ectc301perto |  -36
12:25:55.296 | 0e | 0446 | ectc301perto |  -36
12:25:55.523 | 0e | 0447 | ectc301perto |  -36
12:25:55.752 | 0e | 0448 | ectc301perto |  -36
12:25:55.996 | 0e | 0449 | ectc301perto |  -36
12:25:56.255 | 0e | 0450 | ectc301perto |  -36
12:25:56.497 | 0e | 0451 | ectc301perto |  -36
12:25:56.746 | 0e | 0452 | ectc301perto |  -36
12:25:56.982 | 0e | 0453 | ectc301perto |  -36
12:25:57.232 | 0e | 0454 | ectc301perto |  -36
12:25:57.468 | 0e | 0455 | ectc301perto |  -36
12:25:57.708 | 0e | 0456 | ectc301perto |  -36
12:25:57.894 | 0e | 0457 | ectc301perto |  -36
12:25:58.110 | 0e | 0458 | ectc301perto |  -36
12:25:58.339 | 0e | 0459 | ectc301perto |  -36
12:25:58.551 | 0e | 0460 | ectc301perto |  -36
12:25:58.778 | 0e | 0461 | ectc301perto |  -35
12:25:59.005 | 0e | 0462 | ectc301perto |  -35
12:25:59.214 | 0e | 0463 | ectc301perto |  -35
12:25:59.457 | 0e | 0464 | ectc301perto |  -36
12:25:59.678 | 0e | 0465 | ectc301perto |  -36
12:25:59.914 | 0e | 0466 | ectc301perto |  -35
12:26:00.158 | 0e | 0467 | ectc301perto |  -35
12:26:00.397 | 0e | 0468 | ectc301perto |  -35
12:26:00.638 | 0e | 0469 | ectc301perto |  -35
12:26:00.901 | 0e | 0470 | ectc301perto |  -35
12:26:01.147 | 0e | 0471 | ectc301perto |  -35
12:26:01.385 | 0e | 0472 | ectc301perto |  -35
12:26:01.605 | 0e | 0473 | ectc301perto |  -35
12:26:01.841 | 0e | 0474 | ectc301perto |  -36
12:26:02.060 | 0e | 0475 | ectc301perto |  -36
12:26:02.271 | 0e | 0476 | ectc301perto |  -36
