12:19:12.147 | 0e | 0110 | ectc301perto |  -48
12:19:12.357 | 0e | 0111 | ectc301perto |  -48
12:19:12.570 | 0e | 0112 | ectc301perto |  -48
12:19:12.793 | 0e | 0113 | ectc301perto |  -48
12:19:12.997 | 0e | 0114 | ectc301perto |  -48
12:19:13.234 | 0e | 0115 | ectc301perto |  -48
12:19:13.449 | 0e | 0116 | ectc301perto |  -48
12:19:13.668 | 0e | 0117 | ectc301perto |  -48
12:19:13.870 | 0e | 0118 | ectc301perto |  -48
12:19:14.084 | 0e | 0119 | ectc301perto |  -48
12:19:14.334 | 0e | 0120 | ectc301perto |  -48
12:19:14.514 | 0e | 0121 | ectc301perto |  -48
12:19:14.734 | 0e | 0122 | ectc301perto |  -48
12:19:14.948 | 0e | 0123 | ectc301perto |  -48
12:19:15.164 | 0e | 0124 | ectc301perto |  -48
12:19:15.384 | 0e | 0125 | ectc301perto |  -48
12:19:15.611 | 0e | 0126 | ectc301perto |  -48
12:19:15.812 | 0e | 0127 | ectc301perto |  -48
12:19:16.042 | 0e | 0128 | ectc301perto |  -48
12:19:16.284 | 0e | 0129 | ectc301perto |  -48
12:19:16.526 | 0e | 0130 | ectc301perto |  -48
12:19:16.731 | 0e | 0131 | ectc301perto |  -48
12:19:16.971 | 0e | 0132 | ectc301perto |  -48
12:19:17.219 | 0e | 0133 | ectc301perto |  -48
12:19:17.451 | 0e | 0134 | ectc301perto |  -48
12:19:17.676 | 0e | 0135 | ectc301perto |  -48
12:19:17.901 | 0e | 0136 | ectc301perto |  -48
12:19:18.135 | 0e | 0137 | ectc301perto |  -48
12:19:18.365 | 0e | 0138 | ectc301perto |  -48
12:19:18.569 | 0e | 0139 | ectc301perto |  -48
12:19:18.780 | 0e | 0140 | ectc301perto |  -48
12:19:18.997 | 0e | 0141 | ectc301perto |  -48
12:19:19.210 | 0e | 0142 | ectc301perto |  -48
12:19:19.417 | 0e | 0143 | ectc301perto |  -48
12:19:19.642 | 0e | 0144 | ectc301perto |  -48
12:19:19.870 | 0e | 0145 | ectc301perto |  -49
12:19:20.076 | 0e | 0146 | ectc301perto |  -48
12:19:20.308 | 0e | 0147 | ectc301perto |  -48
12:19:20.531 | 0e | 0148 | ectc301perto |  -49
12:19:20.757 | 0e | 0149 | ectc301perto |  -50
12:19:20.963 | 0e | 0150 | ectc301perto |  -48
12:19:21.183 | 0e | 0151 | ectc301perto |  -50
12:19:21.411 | 0e | 0152 | ectc301perto |  -54
12:19:21.619 | 0e | 0153 | ectc301perto |  -55
12:19:21.839 | 0e | 0154 | ectc301perto |  -52
12:19:22.067 | 0e | 0155 | ectc301perto |  -50
12:19:22.285 | 0e | 0156 | ectc301perto |  -49
12:19:22.510 | 0e | 0157 | ectc301perto |  -48
12:19:22.715 | 0e | 0158 | ectc301perto |  -49
12:19:22.935 | 0e | 0159 | ectc301perto |  -49
12:19:23.160 | 0e | 0160 | ectc301perto |  -49
12:19:23.383 | 0e | 0161 | ectc301perto |  -50
12:19:23.603 | 0e | 0162 | ectc301perto |  -50
12:19:23.825 | 0e | 0163 | ectc301perto |  -50
12:19:24.037 | 0e | 0164 | ectc301perto |  -50
12:19:24.276 | 0e | 0165 | ectc301perto |  -50
12:19:24.511 | 0e | 0166 | ectc301perto |  -50
12:19:24.741 | 0e | 0167 | ectc301perto |  -50
12:19:24.967 | 0e | 0168 | ectc301perto |  -50
12:19:25.205 | 0e | 0169 | ectc301perto |  -50
12:19:25.402 | 0e | 0170 | ectc301perto |  -51
12:19:25.598 | 0e | 0171 | ectc301perto |  -50
12:19:25.831 | 0e | 0172 | ectc301perto |  -48
12:19:26.043 | 0e | 0173 | ectc301perto |  -48
12:19:26.248 | 0e | 0174 | ectc301perto |  -49
12:19:26.449 | 0e | 0175 | ectc301perto |  -48
12:19:26.681 | 0e | 0176 | ectc301perto |  -48
12:19:26.903 | 0e | 0177 | ectc301perto |  -46
12:19:27.136 | 0e | 0178 | ectc301perto |  -48
12:19:27.376 | 0e | 0179 | ectc301perto |  -48
12:19:27.565 | 0e | 0180 | ectc301perto |  -48
12:19:27.766 | 0e | 0181 | ectc301perto |  -48
12:19:28.002 | 0e | 0182 | ectc301perto |  -48
12:19:28.241 | 0e | 0183 | ectc301perto |  -48
12:19:28.462 | 0e | 0184 | ectc301perto |  -48
12:19:28.678 | 0e | 0185 | ectc301perto |  -45
12:19:28.890 | 0e | 0186 | ectc301perto |  -46
12:19:29.114 | 0e | 0187 | ectc301perto |  -46
12:19:29.331 | 0e | 0188 | ectc301perto |  -47
12:19:29.543 | 0e | 0189 | ectc301perto |  -47
12:19:29.742 | 0e | 0190 | ectc301perto |  -47
12:19:29.968 | 0e | 0191 | ectc301perto |  -48
12:19:30.194 | 0e | 0192 | ectc301perto |  -48
12:19:30.396 | 0e | 0193 | ectc301perto |  -47
12:19:30.621 | 0e | 0194 | ectc301perto |  -47
12:19:30.865 | 0e | 0195 | ectc301perto |  -47
12:19:31.088 | 0e | 0196 | ectc301perto |  -47
12:19:31.333 | 0e | 0197 | ectc301perto |  -47
12:19:31.557 | 0e | 0198 | ectc301perto |  -46
12:19:31.776 | 0e | 0199 | ectc301perto |  -46
12:19:32.002 | 0e | 0200 | ectc301perto |  -46
12:19:32.239 | 0e | 0201 | ectc301perto |  -47
12:19:32.461 | 0e | 0202 | ectc301perto |  -47
12:19:32.692 | 0e | 0203 | ectc301perto |  -47
12:19:32.904 | 0e | 0204 | ectc301perto |  -48
12:19:33.123 | 0e | 0205 | ectc301perto |  -46
12:19:33.324 | 0e | 0206 | ectc301perto |  -46
12:19:33.531 | 0e | 0207 | ectc301perto |  -47
12:19:33.741 | 0e | 0208 | ectc301perto |  -47
12:19:33.954 | 0e | 0209 | ectc301perto |  -47
12:19:34.155 | 0e | 0210 | ectc301perto |  -47
12:19:34.389 | 0e | 0211 | ectc301perto |  -46
12:19:34.618 | 0e | 0212 | ectc301perto |  -47
12:19:34.808 | 0e | 0213 | ectc301perto |  -46
12:19:35.033 | 0e | 0214 | ectc301perto |  -46
12:19:35.263 | 0e | 0215 | ectc301perto |  -47
12:19:35.489 | 0e | 0216 | ectc301perto |  -47
12:19:35.728 | 0e | 0217 | ectc301perto |  -46
12:19:35.946 | 0e | 0218 | ectc301perto |  -46
12:19:36.162 | 0e | 0219 | ectc301perto |  -46
12:19:36.375 | 0e | 0220 | ectc301perto |  -47
12:19:36.580 | 0e | 0221 | ectc301perto |  -47
12:19:36.780 | 0e | 0222 | ectc301perto |  -46
12:19:36.997 | 0e | 0223 | ectc301perto |  -46
12:19:37.231 | 0e | 0224 | ectc301perto |  -46
12:19:37.457 | 0e | 0225 | ectc301perto |  -46
12:19:37.667 | 0e | 0226 | ectc301perto |  -46
12:19:37.896 | 0e | 0227 | ectc301perto |  -46
12:19:38.122 | 0e | 0228 | ectc301perto |  -47
12:19:38.349 | 0e | 0229 | ectc301perto |  -46
12:19:38.559 | 0e | 0230 | ectc301perto |  -46
12:19:38.772 | 0e | 0231 | ectc301perto |  -46
12:19:38.993 | 0e | 0232 | ectc301perto |  -47
12:19:39.209 | 0e | 0233 | ectc301perto |  -47
12:19:39.417 | 0e | 0234 | ectc301perto |  -47
12:19:39.653 | 0e | 0235 | ectc301perto |  -47
12:19:39.872 | 0e | 0236 | ectc301perto |  -47
12:19:40.093 | 0e | 0237 | ectc301perto |  -47
12:19:40.321 | 0e | 0238 | ectc301perto |  -47
12:19:40.549 | 0e | 0239 | ectc301perto |  -47
12:19:40.832 | 0e | 0240 | ectc301perto |  -47
12:19:41.004 | 0e | 0241 | ectc301perto |  -47
12:19:41.201 | 0e | 0242 | ectc301perto |  -47
12:19:41.415 | 0e | 0243 | ectc301perto |  -47
12:19:41.617 | 0e | 0244 | ectc301perto |  -47
12:19:41.831 | 0e | 0245 | ectc301perto |  -46
12:19:42.059 | 0e | 0246 | ectc301perto |  -46
12:19:42.291 | 0e | 0247 | ectc301perto |  -46
12:19:42.513 | 0e | 0248 | ectc301perto |  -46
12:19:42.701 | 0e | 0249 | ectc301perto |  -46
12:19:42.933 | 0e | 0250 | ectc301perto |  -46
12:19:43.173 | 0e | 0251 | ectc301perto |  -46
12:19:43.397 | 0e | 0252 | ectc301perto |  -46
12:19:43.584 | 0e | 0253 | ectc301perto |  -46
12:19:43.815 | 0e | 0254 | ectc301perto |  -46
12:19:44.031 | 0e | 0255 | ectc301perto |  -47
12:19:44.239 | 0e | 0256 | ectc301perto |  -46
12:19:44.449 | 0e | 0257 | ectc301perto |  -46
12:19:44.678 | 0e | 0258 | ectc301perto |  -46
12:19:44.897 | 0e | 0259 | ectc301perto |  -46
12:19:45.130 | 0e | 0260 | ectc301perto |  -46
12:19:45.345 | 0e | 0261 | ectc301perto |  -46
12:19:45.571 | 0e | 0262 | ectc301perto |  -46
12:19:45.810 | 0e | 0263 | ectc301perto |  -47
12:19:46.052 | 0e | 0264 | ectc301perto |  -46
12:19:46.302 | 0e | 0265 | ectc301perto |  -47
12:19:46.540 | 0e | 0266 | ectc301perto |  -47
12:19:46.786 | 0e | 0267 | ectc301perto |  -47
12:19:47.036 | 0e | 0268 | ectc301perto |  -47
12:19:47.273 | 0e | 0269 | ectc301perto |  -47
12:19:47.497 | 0e | 0270 | ectc301perto |  -48
12:19:47.730 | 0e | 0271 | ectc301perto |  -49
12:19:47.957 | 0e | 0272 | ectc301perto |  -48
12:19:48.134 | 0e | 0273 | ectc301perto |  -46
12:19:48.383 | 0e | 0274 | ectc301perto |  -44
12:19:48.605 | 0e | 0275 | ectc301perto |  -44
12:19:48.833 | 0e | 0276 | ectc301perto |  -45
12:19:49.058 | 0e | 0277 | ectc301perto |  -48
12:19:49.292 | 0e | 0278 | ectc301perto |  -48
12:19:49.499 | 0e | 0279 | ectc301perto |  -48
12:19:49.711 | 0e | 0280 | ectc301perto |  -48
12:19:49.938 | 0e | 0281 | ectc301perto |  -48
12:19:50.158 | 0e | 0282 | ectc301perto |  -48
12:19:50.377 | 0e | 0283 | ectc301perto |  -48
12:19:50.601 | 0e | 0284 | ectc301perto |  -48
12:19:50.806 | 0e | 0285 | ectc301perto |  -48
12:19:50.998 | 0e | 0286 | ectc301perto |  -48
12:19:51.217 | 0e | 0287 | ectc301perto |  -48
12:19:51.445 | 0e | 0288 | ectc301perto |  -48
12:19:51.644 | 0e | 0289 | ectc301perto |  -48
12:19:51.855 | 0e | 0290 | ectc301perto |  -48
12:19:52.093 | 0e | 0291 | ectc301perto |  -48
12:19:52.302 | 0e | 0292 | ectc301perto |  -48
12:19:52.523 | 0e | 0293 | ectc301perto |  -48
12:19:52.746 | 0e | 0294 | ectc301perto |  -48
12:19:52.976 | 0e | 0295 | ectc301perto |  -48
12:19:53.214 | 0e | 0296 | ectc301perto |  -48
12:19:53.446 | 0e | 0297 | ectc301perto |  -48
12:19:53.671 | 0e | 0298 | ectc301perto |  -48
12:19:53.892 | 0e | 0299 | ectc301perto |  -48
12:19:54.115 | 0e | 0300 | ectc301perto |  -48
12:19:54.348 | 0e | 0301 | ectc301perto |  -48
12:19:54.555 | 0e | 0302 | ectc301perto |  -48
12:19:54.784 | 0e | 0303 | ectc301perto |  -48
12:19:54.991 | 0e | 0304 | ectc301perto |  -48
12:19:55.187 | 0e | 0305 | ectc301perto |  -48
12:19:55.407 | 0e | 0306 | ectc301perto |  -48
12:19:55.640 | 0e | 0307 | ectc301perto |  -48
12:19:55.857 | 0e | 0308 | ectc301perto |  -48
12:19:56.088 | 0e | 0309 | ectc301perto |  -48
12:19:56.316 | 0e | 0310 | ectc301perto |  -48
12:19:56.542 | 0e | 0311 | ectc301perto |  -48
12:19:56.723 | 0e | 0312 | ectc301perto |  -47
12:19:56.932 | 0e | 0313 | ectc301perto |  -48
12:19:57.145 | 0e | 0314 | ectc301perto |  -47
12:19:57.374 | 0e | 0315 | ectc301perto |  -48
12:19:57.606 | 0e | 0316 | ectc301perto |  -47
12:19:57.836 | 0e | 0317 | ectc301perto |  -47
12:19:58.078 | 0e | 0318 | ectc301perto |  -47
12:19:58.309 | 0e | 0319 | ectc301perto |  -47
12:19:58.553 | 0e | 0320 | ectc301perto |  -48
12:19:58.803 | 0e | 0321 | ectc301perto |  -48
12:19:59.010 | 0e | 0322 | ectc301perto |  -47
12:19:59.231 | 0e | 0323 | ectc301perto |  -48
12:19:59.475 | 0e | 0324 | ectc301perto |  -48
12:19:59.704 | 0e | 0325 | ectc301perto |  -47
12:19:59.934 | 0e | 0326 | ectc301perto |  -47
12:20:00.175 | 0e | 0327 | ectc301perto |  -48
12:20:00.385 | 0e | 0328 | ectc301perto |  -48
12:20:00.604 | 0e | 0329 | ectc301perto |  -48
12:20:00.809 | 0e | 0330 | ectc301perto |  -48
12:20:00.998 | 0e | 0331 | ectc301perto |  -49
12:20:01.224 | 0e | 0332 | ectc301perto |  -49
12:20:01.475 | 0e | 0333 | ectc301perto |  -48
12:20:01.717 | 0e | 0334 | ectc301perto |  -48
12:20:01.946 | 0e | 0335 | ectc301perto |  -48
12:20:02.174 | 0e | 0336 | ectc301perto |  -48
12:20:02.397 | 0e | 0337 | ectc301perto |  -47
12:20:02.612 | 0e | 0338 | ectc301perto |  -48
12:20:02.818 | 0e | 0339 | ectc301perto |  -48
12:20:03.016 | 0e | 0340 | ectc301perto |  -48
12:20:03.255 | 0e | 0341 | ectc301perto |  -48
12:20:03.495 | 0e | 0342 | ectc301perto |  -47
12:20:03.707 | 0e | 0343 | ectc301perto |  -47
12:20:03.918 | 0e | 0344 | ectc301perto |  -47
12:20:04.124 | 0e | 0345 | ectc301perto |  -47
12:20:04.339 | 0e | 0346 | ectc301perto |  -47
12:20:04.556 | 0e | 0347 | ectc301perto |  -47
12:20:04.796 | 0e | 0348 | ectc301perto |  -48
12:20:05.012 | 0e | 0349 | ectc301perto |  -48
12:20:05.250 | 0e | 0350 | ectc301perto |  -48
12:20:05.499 | 0e | 0351 | ectc301perto |  -47
12:20:05.720 | 0e | 0352 | ectc301perto |  -47
12:20:05.953 | 0e | 0353 | ectc301perto |  -47
12:20:06.165 | 0e | 0354 | ectc301perto |  -47
12:20:06.384 | 0e | 0355 | ectc301perto |  -46
12:20:06.585 | 0e | 0356 | ectc301perto |  -47
12:20:06.793 | 0e | 0357 | ectc301perto |  -47
12:20:07.001 | 0e | 0358 | ectc301perto |  -46
12:20:07.194 | 0e | 0359 | ectc301perto |  -46
12:20:07.451 | 0e | 0360 | ectc301perto |  -47
12:20:07.616 | 0e | 0361 | ectc301perto |  -47
12:20:07.855 | 0e | 0362 | ectc301perto |  -46
12:20:08.067 | 0e | 0363 | ectc301perto |  -47
12:20:08.282 | 0e | 0364 | ectc301perto |  -46
12:20:08.491 | 0e | 0365 | ectc301perto |  -46
12:20:08.708 | 0e | 0366 | ectc301perto |  -46
12:20:08.889 | 0e | 0367 | ectc301perto |  -46
12:20:09.124 | 0e | 0368 | ectc301perto |  -46
12:20:09.354 | 0e | 0369 | ectc301perto |  -46
12:20:09.577 | 0e | 0370 | ectc301perto |  -47
12:20:09.801 | 0e | 0371 | ectc301perto |  -46
12:20:10.020 | 0e | 0372 | ectc301perto |  -46
12:20:10.229 | 0e | 0373 | ectc301perto |  -46
12:20:10.439 | 0e | 0374 | ectc301perto |  -46
12:20:10.637 | 0e | 0375 | ectc301perto |  -46
12:20:10.858 | 0e | 0376 | ectc301perto |  -46
12:20:11.077 | 0e | 0377 | ectc301perto |  -46
12:20:11.283 | 0e | 0378 | ectc301perto |  -46
12:20:11.485 | 0e | 0379 | ectc301perto |  -46
12:20:11.712 | 0e | 0380 | ectc301perto |  -46
12:20:11.911 | 0e | 0381 | ectc301perto |  -46
12:20:12.132 | 0e | 0382 | ectc301perto |  -46
12:20:12.347 | 0e | 0383 | ectc301perto |  -46
12:20:12.586 | 0e | 0384 | ectc301perto |  -46
12:20:12.807 | 0e | 0385 | ectc301perto |  -46
12:20:13.032 | 0e | 0386 | ectc301perto |  -46
12:20:13.253 | 0e | 0387 | ectc301perto |  -46
12:20:13.478 | 0e | 0388 | ectc301perto |  -46
12:20:13.684 | 0e | 0389 | ectc301perto |  -46
12:20:13.902 | 0e | 0390 | ectc301perto |  -46
12:20:14.118 | 0e | 0391 | ectc301perto |  -46
12:20:14.340 | 0e | 0392 | ectc301perto |  -46
12:20:14.558 | 0e | 0393 | ectc301perto |  -46
12:20:14.790 | 0e | 0394 | ectc301perto |  -45
12:20:15.017 | 0e | 0395 | ectc301perto |  -46
12:20:15.247 | 0e | 0396 | ectc301perto |  -46
12:20:15.469 | 0e | 0397 | ectc301perto |  -46
12:20:15.690 | 0e | 0398 | ectc301perto |  -46
12:20:15.936 | 0e | 0399 | ectc301perto |  -46
12:20:16.132 | 0e | 0400 | ectc301perto |  -46
12:20:16.332 | 0e | 0401 | ectc301perto |  -46
12:20:16.530 | 0e | 0402 | ectc301perto |  -46
12:20:16.747 | 0e | 0403 | ectc301perto |  -46
12:20:16.963 | 0e | 0404 | ectc301perto |  -46
12:20:17.176 | 0e | 0405 | ectc301perto |  -46
12:20:17.389 | 0e | 0406 | ectc301perto |  -46
12:20:17.607 | 0e | 0407 | ectc301perto |  -46
12:20:17.832 | 0e | 0408 | ectc301perto |  -46
12:20:18.046 | 0e | 0409 | ectc301perto |  -46
12:20:18.268 | 0e | 0410 | ectc301perto |  -46
12:20:18.481 | 0e | 0411 | ectc301perto |  -46
