17:21:03.272 | 0a | 0000 | 10metros |  -69
17:21:03.451 | 0a | 0001 | 10metros |  -71
17:21:03.677 | 0a | 0002 | 10metros |  -71
17:21:03.889 | 0a | 0003 | 10metros |  -70
17:21:04.110 | 0a | 0004 | 10metros |  -72
17:21:04.341 | 0a | 0005 | 10metros |  -69
17:21:04.587 | 0a | 0006 | 10metros |  -69
17:21:04.773 | 0a | 0007 | 10metros |  -68
17:21:04.966 | 0a | 0008 | 10metros |  -68
17:21:05.190 | 0a | 0009 | 10metros |  -69
17:21:05.388 | 0a | 0010 | 10metros |  -69
17:21:05.583 | 0a | 0011 | 10metros |  -70
17:21:05.789 | 0a | 0012 | 10metros |  -73
17:21:05.983 | 0a | 0013 | 10metros |  -74
17:21:06.187 | 0a | 0014 | 10metros |  -75
17:21:06.370 | 0a | 0015 | 10metros |  -76
17:21:06.593 | 0a | 0016 | 10metros |  -70
17:21:06.821 | 0a | 0017 | 10metros |  -70
17:21:07.039 | 0a | 0018 | 10metros |  -69
17:21:07.230 | 0a | 0019 | 10metros |  -69
17:21:07.428 | 0a | 0020 | 10metros |  -69
17:21:07.648 | 0a | 0021 | 10metros |  -71
17:21:07.858 | 0a | 0022 | 10metros |  -70
17:21:08.039 | 0a | 0023 | 10metros |  -69
17:21:08.232 | 0a | 0024 | 10metros |  -69
17:21:08.479 | 0a | 0025 | 10metros |  -69
17:21:08.693 | 0a | 0026 | 10metros |  -69
17:21:08.896 | 0a | 0027 | 10metros |  -69
17:21:09.082 | 0a | 0028 | 10metros |  -70
17:21:09.308 | 0a | 0029 | 10metros |  -70
17:21:09.503 | 0a | 0030 | 10metros |  -69
17:21:09.695 | 0a | 0031 | 10metros |  -70
17:21:09.920 | 0a | 0032 | 10metros |  -70
17:21:10.121 | 0a | 0033 | 10metros |  -70
17:21:10.320 | 0a | 0034 | 10metros |  -70
17:21:10.560 | 0a | 0035 | 10metros |  -70
17:21:10.784 | 0a | 0036 | 10metros |  -70
17:21:10.961 | 0a | 0037 | 10metros |  -70
17:21:11.171 | 0a | 0038 | 10metros |  -71
17:21:11.392 | 0a | 0039 | 10metros |  -71
17:21:11.621 | 0a | 0040 | 10metros |  -70
17:21:11.815 | 0a | 0041 | 10metros |  -70
17:21:12.018 | 0a | 0042 | 10metros |  -71
17:21:12.224 | 0a | 0043 | 10metros |  -71
17:21:12.446 | 0a | 0044 | 10metros |  -70
17:21:12.658 | 0a | 0045 | 10metros |  -70
17:21:12.849 | 0a | 0046 | 10metros |  -70
17:21:13.046 | 0a | 0047 | 10metros |  -70
17:21:13.254 | 0a | 0048 | 10metros |  -70
17:21:13.472 | 0a | 0049 | 10metros |  -70
17:21:13.688 | 0a | 0050 | 10metros |  -70
17:21:13.925 | 0a | 0051 | 10metros |  -70
17:21:14.117 | 0a | 0052 | 10metros |  -70
17:21:14.312 | 0a | 0053 | 10metros |  -70
17:21:14.536 | 0a | 0054 | 10metros |  -70
17:21:14.758 | 0a | 0055 | 10metros |  -69
17:21:14.968 | 0a | 0056 | 10metros |  -69
17:21:15.156 | 0a | 0057 | 10metros |  -69
17:21:15.357 | 0a | 0058 | 10metros |  -69
17:21:15.585 | 0a | 0059 | 10metros |  -69
17:21:15.780 | 0a | 0060 | 10metros |  -69
17:21:15.973 | 0a | 0061 | 10metros |  -69
17:21:16.164 | 0a | 0062 | 10metros |  -69
17:21:16.386 | 0a | 0063 | 10metros |  -69
17:21:16.599 | 0a | 0064 | 10metros |  -69
17:21:16.822 | 0a | 0065 | 10metros |  -69
17:21:17.023 | 0a | 0066 | 10metros |  -69
17:21:17.227 | 0a | 0067 | 10metros |  -69
17:21:17.424 | 0a | 0068 | 10metros |  -69
17:21:17.601 | 0a | 0069 | 10metros |  -69
17:21:17.824 | 0a | 0070 | 10metros |  -69
17:21:18.048 | 0a | 0071 | 10metros |  -69
17:21:18.261 | 0a | 0072 | 10metros |  -69
17:21:18.485 | 0a | 0073 | 10metros |  -69
17:21:18.679 | 0a | 0074 | 10metros |  -70
17:21:18.898 | 0a | 0075 | 10metros |  -70
17:21:19.121 | 0a | 0076 | 10metros |  -71
17:21:19.333 | 0a | 0077 | 10metros |  -71
