17:49:57.345 | 0a | 0000 | 80metros |  -92
17:49:57.557 | 0a | 0001 | 80metros |  -93
17:49:57.769 | 0a | 0002 | 80metros |  -91
17:49:57.981 | 0a | 0003 | 80metros |  -90
17:49:58.198 | 0a | 0004 | 80metros |  -85
17:49:58.403 | 0a | 0005 | 80metros |  -85
17:49:58.621 | 0a | 0006 | 80metros |  -85
17:49:58.825 | 0a | 0007 | 80metros |  -84
17:49:59.027 | 0a | 0008 | 80metros |  -84
17:49:59.218 | 0a | 0009 | 80metros |  -86
17:49:59.438 | 0a | 0010 | 80metros |  -86
17:49:59.636 | 0a | 0011 | 80metros |  -86
17:49:59.879 | 0a | 0012 | 80metros |  -85
17:50:00.063 | 0a | 0013 | 80metros |  -85
17:50:00.236 | 0a | 0014 | 80metros |  -85
17:50:00.423 | 0a | 0015 | 80metros |  -86
17:50:00.657 | 0a | 0016 | 80metros |  -89
17:50:00.872 | 0a | 0017 | 80metros |  -99
17:50:01.080 | 0a | 0018 | 80metros |  -92
17:50:01.309 | 0a | 0019 | 80metros |  -88
17:50:01.531 | 0a | 0020 | 80metros |  -83
17:50:01.730 | 0a | 0021 | 80metros |  -81
17:50:01.957 | 0a | 0022 | 80metros |  -81
17:50:02.195 | 0a | 0023 | 80metros |  -82
17:50:02.390 | 0a | 0024 | 80metros |  -82
17:50:02.615 | 0a | 0025 | 80metros |  -83
17:50:02.856 | 0a | 0026 | 80metros |  -82
17:50:03.062 | 0a | 0027 | 80metros |  -83
17:50:03.289 | 0a | 0028 | 80metros |  -84
17:50:03.510 | 0a | 0029 | 80metros |  -84
17:50:03.703 | 0a | 0030 | 80metros |  -86
17:50:03.914 | 0a | 0031 | 80metros |  -86
17:50:04.156 | 0a | 0032 | 80metros |  -83
17:50:04.384 | 0a | 0033 | 80metros |  -83
17:50:04.613 | 0a | 0034 | 80metros |  -81
17:50:04.837 | 0a | 0035 | 80metros |  -83
17:50:05.072 | 0a | 0036 | 80metros |  -81
17:50:05.279 | 0a | 0037 | 80metros |  -81
17:50:05.505 | 0a | 0038 | 80metros |  -84
17:50:05.751 | 0a | 0039 | 80metros |  -84
17:50:05.962 | 0a | 0040 | 80metros |  -83
17:50:06.160 | 0a | 0041 | 80metros |  -84
17:50:06.368 | 0a | 0042 | 80metros |  -82
17:50:06.583 | 0a | 0043 | 80metros |  -81
17:50:06.828 | 0a | 0044 | 80metros |  -85
17:50:07.041 | 0a | 0045 | 80metros |  -84
17:50:07.271 | 0a | 0046 | 80metros |  -83
17:50:07.508 | 0a | 0047 | 80metros |  -84
