17:34:14.193 | 0a | 0000 | 50metros |  -84
17:34:14.389 | 0a | 0001 | 50metros |  -86
17:34:14.585 | 0a | 0002 | 50metros |  -83
17:34:14.773 | 0a | 0003 | 50metros |  -80
17:34:14.977 | 0a | 0004 | 50metros |  -78
17:34:15.172 | 0a | 0005 | 50metros |  -78
17:34:15.358 | 0a | 0006 | 50metros |  -82
17:34:15.569 | 0a | 0007 | 50metros |  -85
17:34:15.762 | 0a | 0008 | 50metros |  -84
17:34:15.961 | 0a | 0009 | 50metros |  -87
17:34:16.165 | 0a | 0010 | 50metros |  -87
17:34:16.372 | 0a | 0011 | 50metros |  -85
17:34:16.560 | 0a | 0012 | 50metros |  -84
17:34:16.774 | 0a | 0013 | 50metros |  -84
17:34:16.982 | 0a | 0014 | 50metros |  -81
17:34:17.179 | 0a | 0015 | 50metros |  -82
17:34:17.371 | 0a | 0016 | 50metros |  -83
17:34:17.569 | 0a | 0017 | 50metros |  -87
17:34:17.791 | 0a | 0018 | 50metros |  -83
17:34:18.014 | 0a | 0019 | 50metros |  -83
17:34:18.220 | 0a | 0020 | 50metros |  -83
17:34:18.417 | 0a | 0021 | 50metros |  -84
17:34:18.594 | 0a | 0022 | 50metros |  -84
17:34:18.775 | 0a | 0023 | 50metros |  -81
17:34:18.962 | 0a | 0024 | 50metros |  -81
17:34:19.176 | 0a | 0025 | 50metros |  -82
17:34:19.383 | 0a | 0026 | 50metros |  -83
17:34:19.598 | 0a | 0027 | 50metros |  -86
17:34:19.812 | 0a | 0028 | 50metros |  -84
17:34:19.994 | 0a | 0029 | 50metros |  -85
17:34:20.183 | 0a | 0030 | 50metros |  -84
17:34:20.392 | 0a | 0031 | 50metros |  -85
17:34:20.614 | 0a | 0032 | 50metros |  -85
17:34:20.847 | 0a | 0033 | 50metros |  -85
17:34:21.043 | 0a | 0034 | 50metros |  -85
17:34:21.282 | 0a | 0035 | 50metros |  -87
17:34:21.513 | 0a | 0036 | 50metros |  -84
17:34:21.747 | 0a | 0037 | 50metros |  -87
17:34:21.948 | 0a | 0038 | 50metros |  -93
17:34:22.165 | 0a | 0039 | 50metros |  -97
17:34:22.369 | 0a | 0040 | 50metros |  -93
17:34:22.589 | 0a | 0041 | 50metros | -101
17:34:22.843 | 0a | 0042 | 50metros |  -95
17:34:23.060 | 0a | 0043 | 50metros |  -93
17:34:23.279 | 0a | 0044 | 50metros |  -93
17:34:23.502 | 0a | 0045 | 50metros |  -87
17:34:23.712 | 0a | 0046 | 50metros |  -88
17:34:23.940 | 0a | 0047 | 50metros |  -91
17:34:24.157 | 0a | 0048 | 50metros |  -95
17:34:24.368 | 0a | 0049 | 50metros |  -92
17:34:24.587 | 0a | 0050 | 50metros |  -92
17:34:24.810 | 0a | 0051 | 50metros |  -90
17:34:25.019 | 0a | 0052 | 50metros |  -89
17:34:25.244 | 0a | 0053 | 50metros |  -88
17:34:25.449 | 0a | 0054 | 50metros |  -89
17:34:25.656 | 0a | 0055 | 50metros |  -90
17:34:25.864 | 0a | 0056 | 50metros |  -91
17:34:26.091 | 0a | 0057 | 50metros |  -91
