17:23:10.430 | 0a | 0001 | 20metros |  -80
17:23:10.648 | 0a | 0002 | 20metros |  -80
17:23:10.850 | 0a | 0003 | 20metros |  -79
17:23:11.065 | 0a | 0004 | 20metros |  -79
17:23:11.288 | 0a | 0005 | 20metros |  -78
17:23:11.517 | 0a | 0006 | 20metros |  -81
17:23:11.708 | 0a | 0007 | 20metros |  -73
17:23:11.914 | 0a | 0008 | 20metros |  -74
17:23:12.124 | 0a | 0009 | 20metros |  -78
17:23:12.332 | 0a | 0010 | 20metros |  -76
17:23:12.495 | 0a | 0011 | 20metros |  -79
17:23:12.669 | 0a | 0012 | 20metros |  -77
17:23:12.923 | 0a | 0013 | 20metros |  -80
17:23:13.099 | 0a | 0014 | 20metros |  -76
17:23:13.306 | 0a | 0015 | 20metros |  -72
17:23:13.505 | 0a | 0016 | 20metros |  -72
17:23:13.724 | 0a | 0017 | 20metros |  -71
17:23:13.937 | 0a | 0018 | 20metros |  -70
17:23:14.156 | 0a | 0019 | 20metros |  -70
17:23:14.374 | 0a | 0020 | 20metros |  -76
17:23:14.587 | 0a | 0021 | 20metros |  -78
17:23:14.783 | 0a | 0022 | 20metros |  -77
17:23:15.006 | 0a | 0023 | 20metros |  -75
17:23:15.238 | 0a | 0024 | 20metros |  -74
17:23:15.697 | 0a | 0026 | 20metros |  -75
17:23:15.922 | 0a | 0027 | 20metros |  -77
17:23:16.347 | 0a | 0029 | 20metros |  -77
17:23:16.558 | 0a | 0030 | 20metros |  -76
17:23:16.776 | 0a | 0031 | 20metros |  -76
17:23:16.984 | 0a | 0032 | 20metros |  -78
17:23:17.206 | 0a | 0033 | 20metros |  -80
17:23:17.429 | 0a | 0034 | 20metros |  -76
17:23:17.656 | 0a | 0035 | 20metros |  -76
17:23:17.850 | 0a | 0036 | 20metros |  -74
17:23:18.072 | 0a | 0037 | 20metros |  -75
17:23:18.304 | 0a | 0038 | 20metros |  -75
17:23:18.547 | 0a | 0039 | 20metros |  -74
17:23:18.792 | 0a | 0040 | 20metros |  -75
17:23:19.004 | 0a | 0041 | 20metros |  -75
17:23:19.239 | 0a | 0042 | 20metros |  -75
17:23:19.448 | 0a | 0043 | 20metros |  -74
17:23:19.674 | 0a | 0044 | 20metros |  -75
17:23:19.892 | 0a | 0045 | 20metros |  -75
17:23:20.106 | 0a | 0046 | 20metros |  -75
17:23:20.316 | 0a | 0047 | 20metros |  -75
17:23:20.549 | 0a | 0048 | 20metros |  -75
17:23:20.775 | 0a | 0049 | 20metros |  -76
17:23:20.988 | 0a | 0050 | 20metros |  -76
17:23:21.238 | 0a | 0051 | 20metros |  -75
17:23:21.464 | 0a | 0052 | 20metros |  -75
17:23:21.710 | 0a | 0053 | 20metros |  -75
17:23:21.891 | 0a | 0054 | 20metros |  -76
17:23:22.078 | 0a | 0055 | 20metros |  -76
17:23:22.279 | 0a | 0056 | 20metros |  -79
17:23:22.539 | 0a | 0057 | 20metros |  -78
17:23:22.800 | 0a | 0058 | 20metros |  -78
17:23:23.037 | 0a | 0059 | 20metros |  -78
17:23:23.263 | 0a | 0060 | 20metros |  -77
17:23:23.493 | 0a | 0061 | 20metros |  -72
17:23:23.709 | 0a | 0062 | 20metros |  -77
17:23:23.925 | 0a | 0063 | 20metros |  -73
17:23:24.141 | 0a | 0064 | 20metros |  -71
17:23:24.353 | 0a | 0065 | 20metros |  -71
17:23:24.574 | 0a | 0066 | 20metros |  -72
17:23:24.806 | 0a | 0067 | 20metros |  -72
17:23:25.031 | 0a | 0068 | 20metros |  -75
17:23:25.271 | 0a | 0069 | 20metros |  -74
17:23:25.528 | 0a | 0070 | 20metros |  -75
17:23:25.763 | 0a | 0071 | 20metros |  -76
17:23:25.978 | 0a | 0072 | 20metros |  -75
17:23:26.219 | 0a | 0073 | 20metros |  -76
17:23:26.446 | 0a | 0074 | 20metros |  -74
17:23:26.660 | 0a | 0075 | 20metros |  -75
17:23:26.881 | 0a | 0076 | 20metros |  -75
17:23:27.126 | 0a | 0077 | 20metros |  -74
17:23:27.359 | 0a | 0078 | 20metros |  -75
17:23:27.593 | 0a | 0079 | 20metros |  -74
17:23:27.820 | 0a | 0080 | 20metros |  -75
17:23:28.061 | 0a | 0081 | 20metros |  -76
17:23:28.272 | 0a | 0082 | 20metros |  -78
17:23:28.469 | 0a | 0083 | 20metros |  -79
17:23:28.682 | 0a | 0084 | 20metros |  -79
17:23:28.898 | 0a | 0085 | 20metros |  -79
17:23:29.135 | 0a | 0086 | 20metros |  -79
17:23:29.334 | 0a | 0087 | 20metros |  -79
17:23:29.554 | 0a | 0088 | 20metros |  -72
17:23:29.776 | 0a | 0089 | 20metros |  -72
17:23:29.980 | 0a | 0090 | 20metros |  -71
17:23:30.221 | 0a | 0091 | 20metros |  -69
17:23:30.442 | 0a | 0092 | 20metros |  -69
17:23:30.662 | 0a | 0093 | 20metros |  -69
17:23:30.919 | 0a | 0094 | 20metros |  -69
17:23:31.172 | 0a | 0095 | 20metros |  -69
17:23:31.380 | 0a | 0096 | 20metros |  -69
17:23:31.614 | 0a | 0097 | 20metros |  -70
17:23:31.873 | 0a | 0098 | 20metros |  -70
17:23:32.074 | 0a | 0099 | 20metros |  -69
17:23:32.271 | 0a | 0100 | 20metros |  -69
17:23:32.496 | 0a | 0101 | 20metros |  -69
17:23:32.742 | 0a | 0102 | 20metros |  -70
17:23:32.938 | 0a | 0103 | 20metros |  -69
17:23:33.170 | 0a | 0104 | 20metros |  -70
17:23:33.391 | 0a | 0105 | 20metros |  -70
17:23:33.602 | 0a | 0106 | 20metros |  -70
17:23:33.831 | 0a | 0107 | 20metros |  -69
17:23:34.054 | 0a | 0108 | 20metros |  -70
17:23:34.260 | 0a | 0109 | 20metros |  -69
17:23:34.508 | 0a | 0110 | 20metros |  -69
17:23:34.730 | 0a | 0111 | 20metros |  -69
17:23:34.970 | 0a | 0112 | 20metros |  -69
17:23:35.187 | 0a | 0113 | 20metros |  -69
17:23:35.372 | 0a | 0114 | 20metros |  -70
17:23:35.600 | 0a | 0115 | 20metros |  -70
17:23:35.818 | 0a | 0116 | 20metros |  -70
17:23:36.033 | 0a | 0117 | 20metros |  -70
17:23:36.254 | 0a | 0118 | 20metros |  -69
17:23:36.478 | 0a | 0119 | 20metros |  -69
17:23:36.692 | 0a | 0120 | 20metros |  -69
17:23:36.926 | 0a | 0121 | 20metros |  -69
17:23:37.135 | 0a | 0122 | 20metros |  -70
17:23:37.360 | 0a | 0123 | 20metros |  -69
17:23:37.556 | 0a | 0124 | 20metros |  -69
17:23:37.783 | 0a | 0125 | 20metros |  -69
17:23:38.001 | 0a | 0126 | 20metros |  -69
17:23:38.242 | 0a | 0127 | 20metros |  -69
17:23:38.492 | 0a | 0128 | 20metros |  -69
17:23:38.745 | 0a | 0129 | 20metros |  -69
17:23:38.989 | 0a | 0130 | 20metros |  -69
17:23:39.209 | 0a | 0131 | 20metros |  -70
17:23:39.444 | 0a | 0132 | 20metros |  -70
17:23:39.655 | 0a | 0133 | 20metros |  -69
17:23:39.867 | 0a | 0134 | 20metros |  -70
17:23:40.086 | 0a | 0135 | 20metros |  -70
17:23:40.281 | 0a | 0136 | 20metros |  -69
17:23:40.524 | 0a | 0137 | 20metros |  -69
17:23:40.738 | 0a | 0138 | 20metros |  -69
17:23:41.386 | 0a | 0141 | 20metros |  -69
17:23:41.638 | 0a | 0142 | 20metros |  -70
17:23:41.892 | 0a | 0143 | 20metros |  -69
17:23:42.143 | 0a | 0144 | 20metros |  -69
17:23:42.385 | 0a | 0145 | 20metros |  -69
17:23:42.642 | 0a | 0146 | 20metros |  -70
17:23:42.840 | 0a | 0147 | 20metros |  -70
17:23:43.056 | 0a | 0148 | 20metros |  -69
17:23:43.280 | 0a | 0149 | 20metros |  -69
