17:51:35.699 | 0a | 0000 | 90metros |  -85
17:51:35.904 | 0a | 0001 | 90metros |  -83
17:51:36.098 | 0a | 0002 | 90metros |  -83
17:51:36.298 | 0a | 0003 | 90metros |  -83
17:51:36.519 | 0a | 0004 | 90metros |  -82
17:51:36.758 | 0a | 0005 | 90metros |  -82
17:51:36.960 | 0a | 0006 | 90metros |  -81
17:51:37.190 | 0a | 0007 | 90metros |  -82
17:51:37.413 | 0a | 0008 | 90metros |  -81
17:51:37.607 | 0a | 0009 | 90metros |  -81
17:51:37.815 | 0a | 0010 | 90metros |  -82
17:51:38.021 | 0a | 0011 | 90metros |  -82
17:51:38.230 | 0a | 0012 | 90metros |  -83
17:51:38.441 | 0a | 0013 | 90metros |  -84
17:51:38.663 | 0a | 0014 | 90metros |  -84
17:51:38.880 | 0a | 0015 | 90metros |  -85
17:51:39.094 | 0a | 0016 | 90metros |  -86
17:51:39.320 | 0a | 0017 | 90metros |  -87
17:51:39.553 | 0a | 0018 | 90metros |  -86
17:51:39.753 | 0a | 0019 | 90metros |  -89
17:51:39.983 | 0a | 0020 | 90metros |  -87
17:51:40.201 | 0a | 0021 | 90metros |  -87
17:51:40.415 | 0a | 0022 | 90metros |  -89
17:51:40.645 | 0a | 0023 | 90metros |  -97
17:51:40.865 | 0a | 0024 | 90metros |  -96
17:51:41.072 | 0a | 0025 | 90metros |  -93
17:51:41.319 | 0a | 0026 | 90metros |  -91
17:51:41.525 | 0a | 0027 | 90metros |  -90
17:51:41.754 | 0a | 0028 | 90metros |  -90
17:51:41.952 | 0a | 0029 | 90metros |  -90
17:51:42.179 | 0a | 0030 | 90metros |  -90
17:51:42.395 | 0a | 0031 | 90metros |  -91
17:51:42.618 | 0a | 0032 | 90metros |  -94
17:51:42.816 | 0a | 0033 | 90metros |  -96
17:51:43.007 | 0a | 0034 | 90metros |  -98
17:51:43.205 | 0a | 0035 | 90metros |  -89
17:51:43.430 | 0a | 0036 | 90metros |  -91
17:51:43.641 | 0a | 0037 | 90metros |  -97
17:51:43.858 | 0a | 0038 | 90metros | -100
17:51:44.083 | 0a | 0039 | 90metros | -100
17:51:44.316 | 0a | 0040 | 90metros | -100
17:51:44.573 | 0a | 0041 | 90metros |  -96
17:51:44.790 | 0a | 0042 | 90metros | -100
17:51:44.999 | 0a | 0043 | 90metros |  -97
17:51:45.232 | 0a | 0044 | 90metros | -104
17:51:45.464 | 0a | 0045 | 90metros | -104
17:51:45.694 | 0a | 0046 | 90metros |  -92
17:51:45.931 | 0a | 0047 | 90metros |  -95
17:51:46.162 | 0a | 0048 | 98metros | -109 CRC error
17:51:46.372 | 0a | 0049 | 90metros | -101
17:51:46.594 | 0a | 0050 | 90metros |  -97
17:51:46.805 | 0a | 0051 | 90metros |  -93
17:51:47.045 | 0a | 0052 | 90metros |  -94
17:51:47.258 | 0a | 0053 | 90metros |  -98
17:51:47.474 | 0a | 0054 | 90metros | -100
17:51:47.692 | 0a | 0055 | 90metros |  -96
17:51:47.886 | 0a | 0056 | 90metros |  -94
17:51:48.105 | 0a | 0057 | 90metros |  -92
17:51:48.337 | 0a | 0058 | 90metros |  -90
17:51:48.610 | 0a | 0059 | 90metros |  -90
17:51:48.860 | 0a | 0060 | 90metros |  -89
17:51:49.093 | 0a | 0061 | 90metros |  -90
17:51:49.308 | 0a | 0062 | 90metros |  -89
17:51:49.515 | 0a | 0063 | 90metros |  -89
17:51:49.740 | 0a | 0064 | 90metros |  -91
17:51:49.968 | 0a | 0065 | 90metros |  -92
17:51:50.222 | 0a | 0066 | 90metros |  -92
17:51:50.461 | 0a | 0067 | 90metros |  -91
17:51:50.693 | 0a | 0068 | 90metros |  -91
