17:53:47.443 | 0b | 0120 | 100metros |  -90
17:53:47.647 | 0b | 0121 | 100metros |  -90
17:53:47.849 | 0b | 0122 | 100metros |  -88
17:53:48.049 | 0b | 0123 | 100metros |  -90
17:53:48.247 | 0b | 0124 | 100metros |  -93
17:53:48.453 | 0b | 0125 | 100metros |  -94
17:53:48.693 | 0b | 0126 | 100metros |  -93
17:53:48.898 | 0b | 0127 | 100metros |  -94
17:53:49.119 | 0b | 0128 | 100metros |  -93
17:53:49.346 | 0b | 0129 | 100metros |  -94
17:53:49.551 | 0b | 0130 | 100metros |  -93
17:53:49.765 | 0b | 0131 | 100metros |  -91
17:53:49.996 | 0b | 0132 | 100metros |  -91
17:53:50.206 | 0b | 0133 | 100metros |  -92
17:53:50.395 | 0b | 0134 | 100metros |  -92
17:53:50.582 | 0b | 0135 | 100metros |  -94
17:53:50.828 | 0b | 0136 | 100metros |  -94
17:53:51.023 | 0b | 0137 | 100metros |  -95
17:53:51.260 | 0b | 0138 | 100metros |  -94
17:53:51.456 | 0b | 0139 | 100metros |  -93
17:53:51.689 | 0b | 0140 | 100metros |  -93
17:53:51.914 | 0b | 0141 | 100metros |  -94
17:53:52.122 | 0b | 0142 | 100metros |  -93
17:53:52.326 | 0b | 0143 | 100metros |  -94
17:53:52.523 | 0b | 0144 | 100metros |  -96
17:53:52.757 | 0b | 0145 | 100metros |  -94
17:53:52.964 | 0b | 0146 | 100metros |  -95
17:53:53.142 | 0b | 0147 | 100metros |  -94
17:53:53.378 | 0b | 0148 | 100metros |  -94
17:53:53.554 | 0b | 0149 | 100metros |  -95
