17:25:12.848 | 0a | 0000 | 30metros |  -75
17:25:13.036 | 0a | 0001 | 30metros |  -77
17:25:13.226 | 0a | 0002 | 30metros |  -76
17:25:13.435 | 0a | 0003 | 30metros |  -76
17:25:13.659 | 0a | 0004 | 30metros |  -76
17:25:13.879 | 0a | 0005 | 30metros |  -76
17:25:14.081 | 0a | 0006 | 30metros |  -76
17:25:14.267 | 0a | 0007 | 30metros |  -84
17:25:14.449 | 0a | 0008 | 30metros |  -87
17:25:14.655 | 0a | 0009 | 30metros |  -86
17:25:14.874 | 0a | 0010 | 30metros |  -85
17:25:15.091 | 0a | 0011 | 30metros |  -84
17:25:15.312 | 0a | 0012 | 30metros |  -80
17:25:15.525 | 0a | 0013 | 30metros |  -81
17:25:15.737 | 0a | 0014 | 30metros |  -80
17:25:15.957 | 0a | 0015 | 30metros |  -90
17:25:16.390 | 0a | 0017 | 30metros |  -86
17:25:16.605 | 0a | 0018 | 30metros |  -92
17:25:16.820 | 0a | 0019 | 30metros |  -85
17:25:17.039 | 0a | 0020 | 30metros |  -80
17:25:17.246 | 0a | 0021 | 30metros |  -79
17:25:17.466 | 0a | 0022 | 30metros |  -84
17:25:17.676 | 0a | 0023 | 30metros |  -79
17:25:17.855 | 0a | 0024 | 30metros |  -80
17:25:18.456 | 0a | 0027 | 30metros |  -90
17:25:18.645 | 0a | 0028 | 30metros |  -86
17:25:18.843 | 0a | 0029 | 30metros |  -84
17:25:19.038 | 0a | 0030 | 30metros |  -90
17:25:19.247 | 0a | 0031 | 30metros |  -84
17:25:19.453 | 0a | 0032 | 30metros |  -83
17:25:19.672 | 0a | 0033 | 30metros |  -84
17:25:19.873 | 0a | 0034 | 30metros |  -84
17:25:20.096 | 0a | 0035 | 30metros |  -83
17:25:20.334 | 0a | 0036 | 30metros |  -84
17:25:20.570 | 0a | 0037 | 30metros |  -87
17:25:20.782 | 0a | 0038 | 30metros |  -86
17:25:21.006 | 0a | 0039 | 30metros |  -86
17:25:21.455 | 0a | 0041 | 30metros |  -85
17:25:21.668 | 0a | 0042 | 30metros |  -84
17:25:21.887 | 0a | 0043 | 30metros |  -84
17:25:22.107 | 0a | 0044 | 30metros |  -83
17:25:22.326 | 0a | 0045 | 30metros |  -83
17:25:22.537 | 0a | 0046 | 30metros |  -82
17:25:22.950 | 0a | 0048 | 30metros |  -83
17:25:23.355 | 0a | 0050 | 30metros |  -83
17:25:23.576 | 0a | 0051 | 30metros |  -84
17:25:23.781 | 0a | 0052 | 30metros |  -84
17:25:24.000 | 0a | 0053 | 30metros |  -84
17:25:24.235 | 0a | 0054 | 30metros |  -85
17:25:24.490 | 0a | 0055 | 30metros |  -84
17:25:24.706 | 0a | 0056 | 30metros |  -83
17:25:24.925 | 0a | 0057 | 30metros |  -83
17:25:25.394 | 0a | 0059 | 30metros |  -85
17:25:25.603 | 0a | 0060 | 30metros |  -86
17:25:25.805 | 0a | 0061 | 30metros |  -85
17:25:26.011 | 0a | 0062 | 30metros |  -86
17:25:26.202 | 0a | 0063 | 30metros |  -87
17:25:26.422 | 0a | 0064 | 30metros |  -86
17:25:26.625 | 0a | 0065 | 30metros |  -85
17:25:26.822 | 0a | 0066 | 30metros |  -86
17:25:27.033 | 0a | 0067 | 30metros |  -87
17:25:27.245 | 0a | 0068 | 30metros |  -85
17:25:27.434 | 0a | 0069 | 30metros |  -86
17:25:27.651 | 0a | 0070 | 30metros |  -86
17:25:27.854 | 0a | 0071 | 30metros |  -87
17:25:28.072 | 0a | 0072 | 30metros |  -87
17:25:28.260 | 0a | 0073 | 30metros |  -90
17:25:28.474 | 0a | 0074 | 30metros |  -91
17:25:29.177 | 0a | 0077 | 30metros | -100
17:25:29.370 | 0a | 0078 | 30metros |  -98
17:25:29.570 | 0a | 0079 | 30metros |  -96
17:25:29.803 | 0a | 0080 | 30metros |  -94
17:25:30.025 | 0a | 0081 | 30metros |  -88
17:25:30.241 | 0a | 0082 | 30metros |  -87
17:25:30.441 | 0a | 0083 | 30metros |  -85
17:25:30.656 | 0a | 0084 | 30metros |  -83
17:25:30.881 | 0a | 0085 | 30metros |  -82
17:25:31.099 | 0a | 0086 | 30metros |  -80
17:25:31.323 | 0a | 0087 | 30metros |  -79
17:25:31.539 | 0a | 0088 | 30metros |  -79
17:25:31.754 | 06 | 0080 | ??? | -108 CRC error
17:25:31.796 | 0a | 0089 | 30metros |  -79
17:25:31.956 | 0a | 0090 | 30metros |  -79
17:25:32.144 | 0a | 0091 | 30metros |  -80
17:25:32.396 | 0a | 0092 | 30metros |  -80
17:25:32.634 | 0a | 0093 | 30metros |  -79
17:25:32.873 | 0a | 0094 | 30metros |  -79
17:25:33.121 | 0a | 0095 | 30metros |  -79
17:25:33.381 | 0a | 0096 | 30metros |  -79
17:25:33.623 | 0a | 0097 | 30metros |  -78
17:25:33.849 | 0a | 0098 | 30metros |  -79
17:25:34.101 | 0a | 0099 | 30metros |  -78
17:25:34.338 | 0a | 0100 | 30metros |  -78
17:25:34.585 | 0a | 0101 | 30metros |  -78
17:25:34.809 | 0a | 0102 | 30metros |  -78
17:25:35.030 | 0a | 0103 | 30metros |  -78
17:25:35.257 | 0a | 0104 | 30metros |  -78
17:25:35.451 | 0a | 0105 | 30metros |  -78
17:25:35.653 | 0a | 0106 | 30metros |  -80
17:25:35.869 | 0a | 0107 | 30metros |  -80
17:25:36.125 | 0a | 0108 | 30metros |  -79
17:25:36.356 | 0a | 0109 | 30metros |  -80
17:25:36.551 | 0a | 0110 | 30metros |  -80
17:25:36.809 | 0a | 0111 | 30metros |  -79
17:25:37.039 | 0a | 0112 | 30metros |  -80
17:25:37.272 | 0a | 0113 | 30metros |  -80
17:25:37.530 | 0a | 0114 | 30metros |  -80
17:25:37.756 | 0a | 0115 | 30metros |  -80
17:25:37.970 | 0a | 0116 | 30metros |  -80
17:25:38.205 | 0a | 0117 | 30metros |  -80
17:25:38.404 | 0a | 0118 | 30metros |  -80
17:25:38.600 | 0a | 0119 | 30metros |  -81
17:25:38.811 | 0a | 0120 | 30metros |  -82
17:25:39.025 | 0a | 0121 | 30metros |  -84
17:25:39.224 | 0a | 0122 | 30metros |  -85
17:25:39.420 | 0a | 0123 | 30metros |  -87
