17:16:08.301 | 09 | 0000 | 1metros |  -58
17:16:08.508 | 09 | 0001 | 1metros |  -56
17:16:08.714 | 09 | 0002 | 1metros |  -56
17:16:08.933 | 09 | 0003 | 1metros |  -56
17:16:09.136 | 09 | 0004 | 1metros |  -55
17:16:09.356 | 09 | 0005 | 1metros |  -55
17:16:09.588 | 09 | 0006 | 1metros |  -59
17:16:09.786 | 09 | 0007 | 1metros |  -54
17:16:10.004 | 09 | 0008 | 1metros |  -54
17:16:10.244 | 09 | 0009 | 1metros |  -54
17:16:10.438 | 09 | 0010 | 1metros |  -55
17:16:10.671 | 09 | 0011 | 1metros |  -55
17:16:10.864 | 09 | 0012 | 1metros |  -56
17:16:11.079 | 09 | 0013 | 1metros |  -60
17:16:11.282 | 09 | 0014 | 1metros |  -60
17:16:11.459 | 09 | 0015 | 1metros |  -59
17:16:11.630 | 09 | 0016 | 1metros |  -58
17:16:11.795 | 09 | 0017 | 1metros |  -59
17:16:12.002 | 09 | 0018 | 1metros |  -58
17:16:12.224 | 09 | 0019 | 1metros |  -57
17:16:12.462 | 09 | 0020 | 1metros |  -57
17:16:12.717 | 09 | 0021 | 1metros |  -59
17:16:12.916 | 09 | 0022 | 1metros |  -58
17:16:13.117 | 09 | 0023 | 1metros |  -59
17:16:13.311 | 09 | 0024 | 1metros |  -60
17:16:13.554 | 09 | 0025 | 1metros |  -59
17:16:13.769 | 09 | 0026 | 1metros |  -60
17:16:13.989 | 09 | 0027 | 1metros |  -61
17:16:14.220 | 09 | 0028 | 1metros |  -60
17:16:14.436 | 09 | 0029 | 1metros |  -63
17:16:14.640 | 09 | 0030 | 1metros |  -63
17:16:14.872 | 09 | 0031 | 1metros |  -62
17:16:15.081 | 09 | 0032 | 1metros |  -64
17:16:15.323 | 09 | 0033 | 1metros |  -63
17:16:15.546 | 09 | 0034 | 1metros |  -63
17:16:15.773 | 09 | 0035 | 1metros |  -62
17:16:16.017 | 09 | 0036 | 1metros |  -62
17:16:16.235 | 09 | 0037 | 1metros |  -62
17:16:16.452 | 09 | 0038 | 1metros |  -61
17:16:16.657 | 09 | 0039 | 1metros |  -62
17:16:16.884 | 09 | 0040 | 1metros |  -63
17:16:17.110 | 09 | 0041 | 1metros |  -64
17:16:17.350 | 09 | 0042 | 1metros |  -64
17:16:17.566 | 09 | 0043 | 1metros |  -63
17:16:17.782 | 09 | 0044 | 1metros |  -62
17:16:18.009 | 09 | 0045 | 1metros |  -64
17:16:18.197 | 06 | 0000 | ?UU |  -97 CRC error
17:16:18.428 | 09 | 0047 | 1metros |  -63
17:16:18.472 | 06 | 0001 | ??? |  -98
17:16:18.655 | 09 | 0048 | 1metros |  -62
17:16:18.697 | 06 | 0002 | ??? |  -97
17:16:18.878 | 09 | 0049 | 1metros |  -62
17:16:18.920 | 06 | 0003 | ??? |  -97
17:16:19.090 | 09 | 0050 | 1metros |  -62
17:16:19.142 | 06 | 0004 | ??? |  -96
17:16:19.300 | 09 | 0051 | 1metros |  -64
17:16:19.378 | 06 | 0005 | ??? |  -99
17:16:19.518 | 09 | 0052 | 1metros |  -62
17:16:19.641 | 06 | 0006 | ??? |  -99
17:16:19.733 | 09 | 0053 | 1metros |  -62
17:16:19.876 | 06 | 0007 | ??? |  -99
17:16:19.952 | 09 | 0054 | 1metros |  -59
17:16:20.070 | 06 | 0008 | ??? | -100
17:16:20.169 | 09 | 0055 | 1metros |  -58
17:16:20.325 | 06 | 0009 | ??? | -100
17:16:20.398 | 09 | 0056 | 1metros |  -58
17:16:20.584 | 06 | 0010 | ??? |  -99
17:16:20.626 | 09 | 0057 | 1metros |  -57
17:16:20.854 | 06 | 0011 | ??? |  -97
17:16:20.898 | 09 | 0058 | 1metros |  -58
17:16:21.098 | 09 | 0059 | 1metros |  -58
17:16:21.141 | 06 | 0012 | ??? |  -98
17:16:21.351 | 09 | 0060 | 1metros |  -59
17:16:21.395 | 06 | 0013 | ??? |  -99
17:16:21.562 | 09 | 0061 | 1metros |  -58
17:16:21.609 | 06 | 0014 | ??? |  -98
17:16:21.776 | 09 | 0062 | 1metros |  -58
17:16:21.857 | 06 | 0015 | ??? |  -98
17:16:21.979 | 09 | 0063 | 1metros |  -59
17:16:22.101 | 06 | 0016 | ??? |  -99
17:16:22.194 | 09 | 0064 | 1metros |  -60
17:16:22.354 | 06 | 0017 | ??? |  -99
17:16:22.418 | 09 | 0065 | 1metros |  -61
17:16:22.599 | 06 | 0018 | ??? |  -98
17:16:22.640 | 09 | 0066 | 1metros |  -61
17:16:22.848 | 09 | 0067 | 1metros |  -62
