17:27:03.617 | 0a | 0000 | 40metros |  -80
17:27:03.820 | 0a | 0001 | 40metros |  -81
17:27:04.014 | 0a | 0002 | 40metros |  -82
17:27:04.210 | 0a | 0003 | 40metros |  -82
17:27:04.417 | 0a | 0004 | 40metros |  -82
17:27:04.627 | 0a | 0005 | 40metros |  -81
17:27:04.825 | 0a | 0006 | 40metros |  -82
17:27:05.027 | 0a | 0007 | 40metros |  -82
17:27:05.226 | 0a | 0008 | 40metros |  -81
17:27:05.465 | 0a | 0009 | 40metros |  -81
17:27:05.691 | 0a | 0010 | 40metros |  -82
17:27:05.892 | 0a | 0011 | 40metros |  -81
17:27:06.124 | 0a | 0012 | 40metros |  -81
17:27:06.326 | 0a | 0013 | 40metros |  -81
17:27:06.553 | 0a | 0014 | 40metros |  -80
17:27:06.759 | 0a | 0015 | 40metros |  -80
17:27:06.955 | 0a | 0016 | 40metros |  -80
17:27:07.156 | 0a | 0017 | 40metros |  -80
17:27:07.366 | 0a | 0018 | 40metros |  -80
17:27:07.580 | 0a | 0019 | 40metros |  -80
17:27:07.785 | 0a | 0020 | 40metros |  -80
17:27:07.966 | 0a | 0021 | 40metros |  -82
17:27:08.158 | 0a | 0022 | 40metros |  -82
17:27:08.388 | 0a | 0023 | 40metros |  -83
17:27:08.600 | 0a | 0024 | 40metros |  -85
17:27:08.841 | 0a | 0025 | 40metros |  -81
17:27:09.055 | 0a | 0026 | 40metros |  -89
17:27:09.280 | 0a | 0027 | 40metros |  -83
17:27:09.504 | 0a | 0028 | 40metros |  -90
17:27:09.720 | 0a | 0029 | 40metros |  -83
17:27:09.967 | 0a | 0030 | 40metros |  -89
17:27:10.240 | 0a | 0031 | 40metros |  -85
17:27:10.482 | 0a | 0032 | 40metros |  -89
17:27:10.729 | 0a | 0033 | 40metros |  -85
17:27:10.916 | 0a | 0034 | 40metros |  -87
17:27:11.198 | 0a | 0035 | 40metros |  -88
17:27:11.454 | 0a | 0036 | 40metros |  -90
17:27:11.709 | 0a | 0037 | 40metros |  -97
17:27:11.956 | 0a | 0038 | 40metros |  -92
17:27:12.189 | 0a | 0039 | 40metros |  -89
